BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2078,16370.491587896146,1.9889085125634307e-5,-4602.491607831467,0.0,0.0,4.664232220569513e-8,-4.0949593845877257e-10,0.0,0.0,-11768.0
t2079,16064.81778870191,1.9852700222193568e-5,-4520.817808600846,0.0,0.0,4.664337917977919e-8,-4.0946086518193127e-10,0.0,0.0,-11544.0
t2080,15285.020111500688,1.9771622680780396e-5,-3930.0201313185466,0.0,0.0,4.664443751290305e-8,-4.094257477236632e-10,0.0,0.0,-11355.0
t2081,11894.216112945342,1.9583180461140052e-5,-512.2161325747601,0.0,0.0,4.664549721267047e-8,-4.0939058587332854e-10,0.0,0.0,-11382.0
t2082,10497.675353092698,1014.3246608544542,-1.3994321137787127e-5,0.0,0.0,4.7546861627641767e-8,-3.7980977774909086e-10,0.0,0.0,-11512.0
t2083,8871.870623638315,2768.129390195296,-1.3880778371777588e-5,0.0,0.0,4.754906919383863e-8,-3.7973812521983394e-10,0.0,0.0,-11640.0
t2084,8965.984088889678,3116.0159248325417,-1.3769390525966066e-5,0.0,0.0,4.755127967070574e-8,-3.796663821295626e-10,0.0,0.0,-12082.0
t2085,7866.881091508953,4004.1189085654614,-1.8161504297044e-7,0.0,0.0,1.0648799101737965e-7,7.092610064113544e-10,0.0,0.0,-11871.0
t2086,8598.09316499566,2475.906875742014,-4.078361999305261e-5,0.0,0.0,4.6365637057243783e-8,-4.1870841339408433e-10,0.0,0.0,-11074.0
t2087,10366.594727717173,2.2267057881485655e-5,-439.5947500298722,0.0,0.0,4.607300325023281e-8,-4.2852023265597523e-10,0.0,0.0,-9927.0
t2088,11554.95588917211,5.9901689780145425e-5,-2637.9559491194423,0.0,0.0,4.6073335222705703e-8,-4.285090614997539e-10,0.0,0.0,-8917.0
t2089,10758.38251179366,7.910493698102209e-5,-2503.382590944238,0.0,0.0,4.607366762287391e-8,-4.284978761065537e-10,0.0,0.0,-8255.0
t2090,13953.960028384054,0.000117356786046797,-6040.960145786484,0.0,0.0,4.607400044106314e-8,-4.2848667683753216e-10,0.0,0.0,-7913.0
t2091,14891.651271500354,4.8613536860458816e-5,-7150.651320159478,0.0,0.0,4.6016824113813644e-8,-4.304119717130534e-10,0.0,0.0,-7741.0
t2092,14822.949141448671,5.401590248427189e-5,-7110.9491955101585,0.0,0.0,4.601682410763507e-8,-4.304119719084843e-10,0.0,0.0,-7712.0
t2093,15108.898555034155,5.400034195858807e-5,-7165.898609080081,0.0,0.0,4.6016824109606286e-8,-4.3041197194116605e-10,0.0,0.0,-7943.0
t2094,14808.094632402403,0.004070992284656159,-6071.098703440334,0.0,0.0,4.607538639958458e-8,-4.2844004146850826e-10,0.0,0.0,-8737.0
t2095,14822.861962700284,0.008127531066117261,-4564.870090277001,0.0,0.0,4.607572141610975e-8,-4.2842876928770665e-10,0.0,0.0,-10258.0
t2096,16020.128147194859,695.2441868882075,-5568.372334128712,0.0,0.0,4.607605683800022e-8,-4.28417483318425e-10,0.0,0.0,-11147.0
t2097,17196.40148655049,760.0833251046853,-6557.48481170082,0.0,0.0,4.607605682071741e-8,-4.284174839521017e-10,0.0,0.0,-11399.0
t2098,18606.088763131203,2.8623173292228003e-5,-7035.088791799764,0.0,0.0,4.583004649464727e-8,-4.367202444830701e-10,0.0,0.0,-11571.0
t2099,18967.243912277503,0.00011325797085179767,-7262.244025580869,0.0,0.0,4.583004648068402e-8,-4.3672024498170656e-10,0.0,0.0,-11705.0
t2100,19072.361466708033,0.00011324763771495591,-7347.361580001069,0.0,0.0,4.583004647504174e-8,-4.367202451765322e-10,0.0,0.0,-11725.0
t2101,18897.439055729472,0.00011323663624191745,-7251.439169011502,0.0,0.0,4.5830046474553884e-8,-4.367202451778729e-10,0.0,0.0,-11646.0
t2102,18815.17455666064,0.00011322483628454523,-7228.174669930871,0.0,0.0,4.58300464734875e-8,-4.3672024520250154e-10,0.0,0.0,-11587.0
t2103,18602.766165243273,0.00011321212527542369,-7198.766278500793,0.0,0.0,4.5830046472505606e-8,-4.3672024519941497e-10,0.0,0.0,-11404.0
t2104,18537.183011800462,0.00011319835577140101,-7201.18312504421,0.0,0.0,4.5830046472431504e-8,-4.3672024518812643e-10,0.0,0.0,-11336.0
t2105,18659.61711539839,0.00011318336220963768,-7234.617228627147,0.0,0.0,4.583004647459575e-8,-4.367202451328876e-10,0.0,0.0,-11425.0
t2106,17149.22326657366,0.0003342265447947195,-5516.223600845857,0.0,0.0,4.608188070296433e-8,-4.2822153862516997e-10,0.0,0.0,-11633.0
t2107,15626.933139980989,0.00016647257916064902,-3786.933306499224,0.0,0.0,4.608222391046669e-8,-4.2820999227374587e-10,0.0,0.0,-11840.0
t2108,14743.106130080652,0.0001237524862510259,-2499.1062538787933,0.0,0.0,4.6082567552396183e-8,-4.2819843143849647e-10,0.0,0.0,-12244.0
t2109,12355.242853770662,0.00010189303216956421,-340.2429557093504,0.0,0.0,4.6082911632766445e-8,-4.2818685583677306e-10,0.0,0.0,-12015.0
t2110,12134.281944045833,8.78016509513354e-5,-890.2820318931408,0.0,0.0,4.608325613309561e-8,-4.281752660957853e-10,0.0,0.0,-11244.0
t2111,10877.218615996257,7.751208932348803e-5,-748.2186935540034,0.0,0.0,4.60836010719757e-8,-4.2816366159219924e-10,0.0,0.0,-10129.0
t2112,9363.914912186636,6.931555319612345e-5,-206.91498154784702,0.0,0.0,4.6083946455829676e-8,-4.281520421995604e-10,0.0,0.0,-9157.0
t2113,8758.593436068539,6.224482662104289e-5,-232.5934983590219,0.0,0.0,4.6084292267403264e-8,-4.2814040857987756e-10,0.0,0.0,-8526.0
t2114,8895.997711829914,5.5424014416157724e-5,-705.9977672995856,0.0,0.0,4.608463851247966e-8,-4.281287605619257e-10,0.0,0.0,-8190.0
t2115,8034.435979900186,6.5640958473321325,-7.579325116905399e-5,0.0,0.0,4.615964140591496e-8,-4.2560795469207016e-10,0.0,0.0,-8041.0
t2116,8020.756762950964,4.711574186786504e-5,-7.756810112365077,0.0,0.0,4.608742428734007e-8,-4.280350489688501e-10,0.0,0.0,-8013.0
t2117,4508.46510431992,3750.534899565887,-3.937635046220726e-6,0.0,0.0,5.206777706279086e-8,-2.4075977787394105e-10,0.0,0.0,-8259.0
t2118,4914.608675302969,4148.391328582894,-3.937689607717352e-6,0.0,0.0,5.20677771288774e-8,-2.407597762473761e-10,0.0,0.0,-9063.0
t2119,6244.998205001865,4248.001795150595,-2.4129057475994925e-7,0.0,0.0,8.833786182610156e-8,4.926606910164713e-10,0.0,0.0,-10493.0
